english,spanish,french,italian,german,japanese
Kushala Vise,Torso Kushala,Étau Kushala,Morso di Kushala,Kushala-Vise,
Kirin Jacket,Chaqueta de Kirin,Gilet Kirin,Giacca Kirin,Kirin-Jacke,
Kirin Cape,Capa de Kirin,Cape Kirin,Cappa Kirin,Kirin-Cape,
GuardianSpritRaiment,Vestim. Espír. Guar.,Vêtement esprit Gar.,Veste Spir. Guard.,Wächterseelen-Gewand,
Carnage Raiment,Vestimenta Matanza,Vêtement carnage,Veste Strage,Gemetzelgewand,
Auroros Torso,Torso de Auroros,Plastron Auroros,Corazza Auroros,Auroros-Torso,
Genesis Torso,Torso Génesis,Plastron Genesis,Corazza Genesis,Genesis-Torso,
Borealis Chest,Pechera Boreal,Bustier Borealis,Petto Borealis,Borealis-Harnisch,
Glyph Chest,Pechera de Glyph,Bustier Glyphe,Petto Glifo,Glyph-Harnisch,
Empress Mail,Malla de Emperatriz,Cotte Impératrice,Cotta Imperatrice,Kaiserin-Panzer,
Empress Vest,Chaleco Emperatriz,Tunique Impératrice,Pettorina Imperatr.,Kaiserin-Weste,
Indra Vest,Chaleco de Indra,Tunique Indra,Pettorina Indra,Indra-Weste,
Steadfast Vest,Chaleco Firme,Tunique inébranlable,Pettorina Solida,Standfeste Weste,
Kaiser Mail,Malla de Kaiser,Cotte Kaiser,Cotta del Kaiser,Kaiser-Panzer,
Kaiser Vest,Chaleco de Kaiser,Tunique Kaiser,Pettorina del Kaiser,Kaiser-Weste,
(dummy)Red Lobster Mail,(dummy)Red Lobster Mail,(dummy)Red Lobster Mail,(dummy)Red Lobster Mail,(dummy)Red Lobster Mail,
(dummy)Red Lobster Vest,(dummy)Red Lobster Vest,(dummy)Red Lobster Vest,(dummy)Red Lobster Vest,(dummy)Red Lobster Vest,
Monodevil Mail,Malla de Monodevil,Cotte Monodevil,Cotta Monodevil,Monodevil-Panzer,
Monodevil Vest,Chaleco de Monodevil,Tunique Monodevil,Pettorina Monodevil,Monodevil-Weste,
Rathian Heart Mail,Malla Coraz. Rathian,Cotte cœur Rathian,Cotta Cuore Rathian,Rathianherz-Panzer,
Rathian Heart Vest,Chaleco Cor. Rathian,Tun. cœur Rathian,Pettor.Cuore Rathian,Rathianherz-Weste,
Rathalos Soul Mail,Malla Alma Rathalos,Cotte âme Rathalos,Cotta Anima Rathalos,RathalosseelenPanzer,
Rathalos Soul Vest,Chal. Alma Rathalos,Tunique âme Rathalos,Pett. Anima Rathalos,Rathalosseelen-Weste,
Mafumofu Jacket S,Chaqueta Mafumofu S,Gilet Mafumofu S,Giacca Mafumofu S,Mafumofu-Jacke S,
Leather Armor S,Armadura de Cuero S,Armure de cuir S,Armatura di Cuoio S,Lederrüstung S,
Chain Mail S,Cota de Malla S,Cotte de mailles S,Cotta di Maglia S,Kettenpanzer S,
Hunter's Mail S,Malla de Cazador S,Cotte de chasseur S,Cotta Cacciatore S,Jägerpanzer S,
Hunter's Vest S,Chaleco de Cazador S,Tuniq. de chasseur S,Pettor. Cacciatore S,Jägerweste S,
Bone Mail S,Malla de Hueso S,Cotte d'os S,Cotta d’Osso S,Knochenpanzer S,
Bone Vest S,Chaleco de Hueso S,Tunique d'os S,Pettorina d’Osso S,Knochenweste S,
Battle Mail S,Malla de Combate S,Cotte de combat S,Cotta da Battaglia S,Kampfpanzer S,
Battle Vest S,Chaleco de Combate S,Tunique de combat S,Pettor. Battaglia S,Kampfweste S,
Velociprey Mail S,Malla Velociprey S,Cotte Velociprey S,Cotta Velociprey S,Velociprey-Panzer S,
Velociprey Vest S,Chaleco Velociprey S,Tunique Velociprey S,Pettor. Velociprey S,Velociprey-Weste S,
Vespoid Mail S,Malla de Vespoid S,Cotte Vespoid S,Cotta Vespoid S,Vespoid-Panzer S,
Vespoid Vest S,Chaleco de Vespoid S,Tunique Vespoid S,Pettorina Vespoid S,Vespoid-Weste S,
Hi-Metal Mail S,Malla de Megametal S,Cotte haut-métal S,Cotta Hi-Metal S,Hochmetall-Panzer S,
Hi-Metal Vest S,Chaleco Megametal S,Tunique haut-métal S,Pettorina Hi-Metal S,Hochmetall-Weste S,
Steel Mail S,Malla de Acero S,Cotte d'acier S,Cotta d’Acciaio S,Stahlpanzer S,
Hornet Mail S,Malla de Hornet. S,Cotte Hornet S,Cotta Hornet S,Hornissen-Panzer S,
Hornet Vest S,Chaleco de Hornet. S,Tunique Hornet S,Pettorina Hornet S,Hornissen-Weste S,
Genprey Mail S,Malla de Genprey S,Cotte Genprey S,Cotta Genprey S,Genprey-Panzer S,
Genprey Vest S,Chaleco de Genprey S,Tunique Genprey S,Pettorina Genprey S,Genprey-Weste S,
Ioprey Mail S,Malla de Ioprey S,Cotte Ioprey S,Cotta Ioprey S,Ioprey-Panzer S,
Ioprey Vest S,Chaleco de Ioprey S,Tunique Ioprey S,Pettorina Ioprey S,Ioprey-Weste S,
Kut-Ku Mail S,Malla de Kut-Ku S,Cotte Kut-Ku S,Cotta Kut-Ku S,Kut-Ku-Panzer S,
Kut-Ku Vest S,Chaleco de Kut-Ku S,Tunique Kut-Ku S,Pettorina Kut-Ku S,Kut-Ku-Weste S,
Cephalos Mail S,Malla de Cephalos S,Cotte Cephalos S,Cotta Cephalos S,Cephalos-Panzer S,
Cephalos Vest S,Chaleco Cephalos S,Tunique Cephalos S,Pettorina Cephalos S,Cephalos-Weste S,
Conga Mail S,Malla de Conga S,Cotte Conga S,Cotta di Conga S,Conga-Panzer S,
Conga Vest S,Chaleco de Conga S,Tunique Conga S,Pettorina di Conga S,Conga-Weste S,
Gypceros Mail S,Malla de Gypceros S,Cotte Gypceros S,Cotta Gypceros S,Gypceros-Panzer S,
Gypceros Vest S,Chaleco Gypceros S,Tunique Gypceros S,Pettorina Gypceros S,Gypceros-Weste S,
Khezu Mail S,Malla de Khezu S,Cotte Khezu S,Cotta Khezu S,Khezu-Panzer S,
Khezu Vest S,Chaleco de Khezu S,Tunique Khezu S,Pettorina Khezu S,Khezu-Weste S,
Hermitaur Mail S,Malla de Hermitaur S,Cotte Hermitaur S,Cotta Hermitaur S,Hermitaur-Panzer S,
Hermitaur Vest S,Chaleco Hermitaur S,Tunique Hermitaur S,Pettor. Hermitaur S,Hermitaur-Weste S,
Hypno Mail S,Malla Hypno S,Cotte Hypno S,Cotta Hypno S,Hypno-Panzer S,
Hypno Vest S,Chal. Hypno S,Tunique Hypno S,Pettorina Hypno S,Hypno-Weste S,
Basarios Mail S,Malla de Basarios S,Cotte Basarios S,Cotta Basarios S,Basarios-Panzer S,
Basarios Vest S,Chaleco Basarios S,Tunique Basarios S,Pettorina Basarios S,Basarios-Weste S,
Plesioth Mail S,Malla de Plesioth S,Cotte Plesioth S,Cotta Plesioth S,Plesioth-Panzer S,
Plesioth Vest S,Chaleco Plesioth S,Tunique Plesioth S,Pettorina Plesioth S,Plesioth-Weste S,
Monoblos Mail S,Malla de Monoblos S,Cotte Monoblos S,Cotta Monoblos S,Monoblos-Panzer S,
Monoblos Vest S,Chaleco Monoblos S,Tunique Monoblos S,Pettorina Monoblos S,Monoblos-Weste S,
Garuga Mail S,Malla Garuga S,Cotte Garuga S,Cotta Garuga S,Garuga-Panzer S,
Garuga Vest S,Chal. Garuga S,Tunique Garuga S,Pettorina Garuga S,Garuga-Weste S,
Blango Mail S,Malla de Blango S,Cotte Blango S,Cotta di Blango S,Blango-Panzer S,
Blango Vest S,Chaleco de Blango S,Tunique Blango S,Pettorina Blango S,Blango-Weste S,
Ceanataur Mail S,Malla de Ceanataur S,Cotte Ceanataur S,Cotta di Ceanataur S,Ceanataur-Panzer S,
Ceanataur Vest S,Chaleco Ceanataur S,Tunique Ceanataur S,Pettor. Ceanataur S,Ceanataur-Weste S,
Rathian Mail S,Malla de Rathian S,Cotte Rathian S,Cotta Rathian S,Rathian-Panzer S,
Rathian Vest S,Chaleco de Rathian S,Tunique Rathian S,Pettorina Rathian S,Rathian-Weste S,
Narga Mail S,Malla Narga S,Cotte Narga S,Cotta Narga S,Narga-Panzer S,
Narga Vest S,Chal. Narga S,Tunique Narga S,Pettorina Narga S,Narga-Weste S,
Tigrex Mail S,Malla de Tigrex S,Cotte Tigrex S,Cotta di Tigrex S,Tigrex-Panzer S,
Tigrex Vest S,Chaleco de Tigrex S,Tunique Tigrex S,Pettorina Tigrex S,Tigrex-Weste S,
Rathalos Mail S,Malla de Rathalos S,Cotte Rathalos S,Cotta Rathalos S,Rathalos-Panzer S,
Rathalos Vest S,Chaleco Rathalos S,Tuniq ue Rathalos S,Pettorina Rathalos S,Rathalos-Weste S,
Diablo Mail S,Malla de Diablos S,Cotte Diablos S,Cotta di Diablos S,Diablos-Panzer S,
Diablo Vest S,Chaleco de Diablos S,Tunique Diablos S,Pettorina Diablos S,Diablos-Weste S,
Gravios Mail S,Malla de Gravios S,Cotte Gravios S,Cotta Gravios S,Gravios-Panzer S,
Gravios Vest S,Chaleco de Gravios S,Tunique Gravios S,Pettorina Gravios S,Gravios-Weste S,
Leather Armor U,Armadura de Cuero U,Armure de cuir U,Armatura di Cuoio U,Lederrüstung U,
Chain Mail U,Cota de Malla U,Cotte de mailles U,Cotta di Maglia U,Kettenpanzer U,
Hunter's Mail U,Malla de Cazador U,Cotte de chasseur U,Cotta Cacciatore U,Jägerpanzer U,
Hunter's Vest U,Chaleco de Cazador U,Tuniq. de chasseur U,Pettor. Cacciatore U,Jägerweste U,
Bone Mail U,Malla de Hueso U,Cotte d'os U,Cotta d’Osso U,Knochenpanzer U,
Bone Vest U,Chaleco de Hueso U,Tunique d'os U,Pettorina d’Osso U,Knochenweste U,
Battle Mail U,Malla de Combate U,Cotte de combat U,Cotta da Battaglia U,Kampfpanzer U,
Battle Vest U,Chaleco de Combate U,Tunique de combat U,Pettorina Batt. U,Kampfweste U,
Giaprey Mail U,Malla de Giaprey U,Cotte Giaprey U,Cotta di Giaprey U,Giaprey-Panzer U,
Giaprey Vest U,Chaleco de Giaprey U,Tunique Giaprey U,Pettorina Giaprey U,Giaprey-Weste U,
Vespoid Mail U,Malla de Vespoid U,Cotte Vespoid U,Cotta Vespoid U,Vespoid-Panzer U,
Vespoid Vest U,Chaleco de Vespoid U,Tunique Vespoid U,Pettorina Vespoid U,Vespoid-Weste U,
Hi-Metal Mail U,Malla de Megametal U,Cotte haut-métal U,Cotta Hi-Metal U,Hochmetall-Panzer U,
Hi-Metal Vest U,Chaleco Megametal U,Tunique haut-métal U,Pettorina Hi-Metal U,Hochmetall-Weste U,
Steel Mail U,Malla de acero U,Cotte d'acier U,Cotta d’Acciaio U,Stahlpanzer U,
Hornet Mail U,Malla de Hornet. U,Cotte Hornet U,Cotta Hornet U,Hornissen-Panzer U,
Hornet Vest U,Chaleco de Hornet. U,Tunique Hornet U,Pettorina Hornet U,Hornissen-Weste U,
Genprey Mail U,Malla de Genprey U,Cotte Genprey U,Cotta Genprey U,Genprey-Panzer U,
Genprey Vest U,Chaleco de Genprey U,Tunique Genprey U,Pettorina Genprey U,Genprey-Weste U,
Ioprey Mail U,Malla de Ioprey U,Cotte Ioprey U,Cotta Ioprey U,Ioprey-Panzer U,
Ioprey Vest U,Chaleco de Ioprey U,Tunique Ioprey U,Pettorina Ioprey U,Ioprey-Weste U,
Kut-Ku Mail U,Malla de Kut-Ku U,Cotte Kut-Ku U,Cotta Kut-Ku U,Kut-Ku-Panzer U,
Kut-Ku Vest U,Chaleco de Kut-Ku U,Tunique Kut-Ku U,Pettorina Kut-Ku U,Kut-Ku-Weste U,
Cephalos Mail U,Malla de Cephalos U,Cotte Cephalos U,Cotta Cephalos U,Cephalos-Panzer U,
Cephalos Vest U,Chaleco Cephalos U,Tunique Cephalos U,Pettorina Cephalos U,Cephalos-Weste U,
Conga Mail U,Malla de Conga U,Cotte Conga U,Cotta di Conga U,Conga-Panzer U,
Conga Vest U,Chaleco de Conga U,Tunique Conga U,Pettorina di Conga U,Conga-Weste U,
Gypceros Mail U,Malla de Gypceros U,Cotte Gypceros U,Cotta Gypceros U,Gypceros-Panzer U,
Gypceros Vest U,Chaleco Gypceros U,Tunique Gypceros U,Pettorina Gypceros U,Gypceros-Weste U,
Khezu Mail U,Malla de Khezu U,Cotte Khezu U,Cotta Khezu U,Khezu-Panzer U,
Khezu Vest U,Chaleco de Khezu U,Tunique Khezu U,Pettorina Khezu U,Khezu-Weste U,
Hermitaur Mail U,Malla de Hermitaur U,Cotte Hermitaur U,Cotta Hermitaur U,Hermitaur-Panzer U,
Hermitaur Vest U,Chaleco Hermitaur U,Tunique Hermitaur U,Pettor. Hermitaur U,Hermitaur-Weste U,
Basarios Mail U,Malla de Basarios U,Cotte Basarios U,Cotta Basarios U,Basarios-Panzer U,
Basarios Vest U,Chaleco Basarios U,Tunique Basarios U,Pettorina Basarios U,Basarios-Weste U,
Plesioth Mail U,Malla de Plesioth U,Cotte Plesioth U,Cotta Plesioth U,Plesioth-Panzer U,
Plesioth Vest U,Chaleco Plesioth U,Tunique Plesioth U,Pettorina Plesioth U,Plesioth-Weste U,
Blango Mail U,Malla de Blango U,Cotte Blango U,Cotta di Blango U,Blango-Panzer U,
Blango Vest U,Chaleco de Blango U,Tunique Blango U,Pettorina Blango U,Blango-Weste U,
Ceanataur Mail U,Malla de Ceanataur U,Cotte Ceanataur U,Cotta di Ceanataur U,Ceanataur-Panzer U,
Ceanataur Vest U,Chaleco Ceanataur U,Tun ique Ceanataur U,Pettor. Ceanataur U,Ceanataur-Weste U,
Diablo Mail U,Malla de Diablos U,Cotte Diablos U,Cotta di Diablos U,Diablos-Panzer U,
Diablo Vest U,Chaleco de Diablos U,Tunique Diablos U,Pettorina Diablos U,Diablos-Weste U,
Gravios Mail U,Malla de Gravios U,Cotte Gravios U,Cotta Gravios U,Gravios-Panzer U,
Gravios Vest U,Chaleco de Gravios U,Tunique Gravios U,Pettorina Gravios U,Gravios-Weste U,
(dummy)Famitsu T-Shirt S,(dummy)Famitsu T-Shirt S,(dummy)Famitsu T-Shirt S,(dummy)Famitsu T-Shirt S,(dummy)Famitsu T-Shirt S,
Hunter T-Shirt,Camiseta de Cazador,T-shirt de chasseur,Maglietta cacciatore,Jäger-T-Shirt,
Black Belt Mail S,Malla Cin. Neg. S,Cot. ceint. noire S,Cotta Cintura nera S,Schwarzgurt-Panzer S,
Shinobi Suit(Heaven),Tr. Shinobi (Par.),Cost. Shinobi Cieux,Abito Shinobi(Par.),ShinobiGwndHimmelrch,
Shinobi Suit (Earth),Tr. Shinobi (Tierra),Cost. Shinobi Terre,Abito Shinobi(Terra),Shinobi-Gewand Erde,
Red Guild Guard Suit,Tra. Guar. Gre. Rojo,Costum.grd.gld rouge,Abito Rosso G. Gilda,Rt GildWächt-Gewand,
Red Guild Guard Vest,Chal. Gua. Gre. Rojo,Tuniq.grd.gld rouge,Pett. Rossa G. Gilda,Rt GildWächt-Weste,
Blue GuildGuard Suit,Traj. Cab. Gre. Azul,Costum.gard.gld bleu,Abito Blu G. Gilda,Bl GildWächt-Gewand,
Blue GuildGuard Vest,Chal. Gua. Gre. Azul,Tuniq.grd.gld bleue,Pett.Blu Guard.Gilda,Bl GildWächt-Weste,
Red Guild Guard Suit,Tra. Guar. Gre. Rojo,Costum.grd.gld rouge,Abito Rosso G. Gilda,Rt GildWächt-Gewand,
Red Guild Guard Vest,Chal. Gua. Gre. Rojo,Tuniq.grd.gld rouge,Pett. Rossa G. Gilda,Rt GildWächt-Weste,
Blue GuildGuard Suit,Traj. Cab. Gre. Azul,Costum.gard.gld bleu,Abito Blu G. Gilda,Bl GildWächt-Gewand,
Blue GuildGuard Vest,Chal. Gua. Gre. Azul,Tuniq.grd.gld bleue,Pett.Blu Guard.Gilda,Bl GildWächt-Weste,
(dummy)Devil Blos Mail,(dummy)Devil Blos Mail,(dummy)Devil Blos Mail,(dummy)Devil Blos Mail,(dummy)Devil Blos Mail,
(dummy)Devil Blos Vest,(dummy)Devil Blos Vest,(dummy)Devil Blos Vest,(dummy)Devil Blos Vest,(dummy)Devil Blos Vest,
(dummy)Jolly Roger Suit,(dummy)Jolly Roger Suit,(dummy)Jolly Roger Suit,(dummy)Jolly Roger Suit,(dummy)Jolly Roger Suit,
(dummy)Jolly Roger Jacket,(dummy)Jolly Roger Jacket,(dummy)Jolly Roger Jacket,(dummy)Jolly Roger Jacket,(dummy)Jolly Roger Jacket,
Golden Haori,Haori Dorado,Haori doré,Haori Dorato,Gold-Haori,
PuppetMaster Costume,Traje Titiritero,Cost. marionnettiste,Costume Burattinaio,Drahtzieher-Kostüm,
Obituary Petto S,Peto de Obituario S,Petto nécrologie S,Petto Necrologio S,Todes-Petto S,
Obituary Pectus S,Pecho de Obituario S,Pectus nécrologie S,Pectus Necrologio S,Todes-Pectus S,
Butterfly Petto S,Peto de Mariposa S,Petto papillon S,Petto Farfalla S,Schmetterling-PettoS,
Butterfly Pectus S,Pecho de Mariposa S,Pectus papillon S,Pectus Farfalla S,SchmetterlingPectusS,
DeathStench Muscle S,Músc. Hedor Muerte S,Muscle odeur de m. S,Musc. Puzza Morte S,Todesgestank-MuskelS,
Death Stench Heart S,Cora. Hedor Muerte S,Cœur odeur de m. S,Cuore Puzza Morte S,Todesgestank-Herz S,
SupremeMizuha Guards,Guardb. Mizuha Supr.,Gardes Mizuha suprm,Protez. Mizuha Supr.,Über-Mizuha-Schutz,
SprmExtrvagantCamise,Camisa Extrav. Supr.,Camise extrav. suprm,Tunica Sperim.Strav.,Extrvgnt Über-Schutz,
Kushala Cista S,Cista Kushala S,Cista Kushala S,Cista di Kushala S,Kushala-Cista S,
Kushala Vise S,Torso Kushala S,Étau Kushala S,Morso di Kushala S,Kushala-Vise S,
Kirin Jacket S,Chaqueta de Kirin S,Gilet Kirin S,Giacca Kirin S,Kirin-Jacke S,
Kirin Cape S,Capa de Kirin S,Cape Kirin S,Cappa Kirin S,Kirin-Cape S,
Auroros Torso Haku,Torso Auroros Haku,Plast. Auroros Haku,Corazza Auroros Haku,Auroros-Torso Haku,
Genesis Torso Haku,Torso Génesis Haku,Plast. Genesis Haku,Corazza Genesis Haku,Genesis-Torso Haku,
Borealis Chest Haku,Pech. Boreal Haku,Bust. Borealis Haku,Pettor.Borealis Haku,Boralis-HarnischHaku,
Glyph Chest Haku,Pechera Glyph Haku,Bustier Glyphe Haku,Pettorale Glifo Haku,Glyph-Harnisch Haku,
Ultimate Indra Vest,Chaleco Indra Def.,Tunique Indra ultime,Pettorina Indra Def.,UltimatIndraWeste,
SupremeSteadfastVest,Chaleco Firme Supr.,Tunique inébr. suprm,Pettorina Sol. Supr.,Stndfst Über-Weste,
Kaiser Mail S,Malla de Kaiser S,Cotte Kaiser S,Cotta del Kaiser S,Kaiser-Panzer S,
Kaiser Vest S,Chaleco de Kaiser S,Tunique Kaiser S,Pettorina Kaiser S,Kaiser-Weste S,
Dragonhide S,Piel de Dragón S,Cuir-de-dragon S,Pelle-di-Drago S,Drachenlederhaut S,
Dragonskin S,Pellejo de Dragón S,Peau-de-dragon S,Pellame-di-Drago S,Drachenhaut S,
Dark Akantor Aegis,Égida Akantor Oscura,Aegis Akantor sombre,Egida Akantor Scuro,SchwarzAkantor-Aegis,
Dark Akantor Plate,Placa Akantor Oscura,Plastron Akantor smb,Coraz. Akantor Scuro,SchwAkantor-Platte,
Bistro Jacket U,Chaqueta de Chef U,Gilet Bistro U,Giacca Bistro U,Bistro-Jacke U,
Shinobi Suit (Sky),Trj. Shinobi (Cielo),Costume Shinobi Ciel,Abito Shinobi (Cielo),ShinobiGewand Himmel,
Shinobi Suit (Sea),Trj. Shinobi (Mar),Costume Shinobi Mer,Abito Shinobi (Mare),Shinobi-Gewand Meer,
Guardian Suit U,Traje de Guardián U,Costume du gardien U,Abito Guardiano U,Wächter-Gewand U,
Guardian Vest U,Chaleco de GuardiánU,Tunique du gardien U,Pettorina Guard. U,Wächter-Weste U,
Helper Vest U,Chaleco de AyudanteU,Tunique aide U,Pettorina Aiutante U,Helfer-Gewand U,
Healer Vest U,Chaleco de Sanador U,Tunique Guériss. U,Pettor. Guaritr. U,Heiler-Gewand U,
MelahoaFlowerJacketU,Chaq. Flores Melah.U,Gil.Fleur Mela hoa U,Giac. Fiore Mel. U,Melahoa-BlumenjackeU,
Melahoa Stalk U,Esqueje Melahoa U,Tige Melahoa U,Stelo Melahoa U,Melahoa-Stengel U,
Makluva Cover U,Poncho de Makluva U,Poncho Makluva U,Copertura Makluva U,Makluva-Hülle U,
Makluva Scale U,Escama Makluva U,Écaille Makluva U,Squama Makluva U,Makluva-Schuppe U,
Monodevil Mail U,Malla Monodevil U,Cotte Monodevil U,Cotta Monodevil U,Monodevil-Panzer U,
Monodevil Vest U,Chal. Monodevil U,Tunique Monodevil U,Pettorina MonodevilU,Monodevil-Weste U,
Rathian Heart Mail U,Malla Cor. Rathian U,Cot. cœur Rathian U,Cotta Cuore RathianU,Rathianherz-Panzer U,
Rathian Heart Vest U,Chal. Cor. Rathian U,Tun. cœur Rathian U,Pettor.CuoreRathianU,Rathianherz-Weste U,
Rathalos Soul Mail U,Malla Alma RathalosU,Cotte âme Rathalos U,Cotta AnimaRathalosU,RathalosseelenPanzrU,
Rathalos Soul Vest U,Chal. Alma RathalosU,Tunique âme Ratha. U,Pett. AnimaRathalosU,RathalosseelenWesteU,
Golden Moon Mail,Malla de Luna Dorada,Cotte Lune dorée,Cotta Luna Dorata,Goldmond-Panzer,
Golden Moon Vest,Chaleco Luna Dorada,Tunique Lune dorée,Pettor. Luna Dorata,Goldmond-Weste,
Silver Sol Mail,Malla Sol Plateada,Cotte Sol argenté,Cotta Sole Argentato,Silbersonnen-Panzer,
Silver Sol Vest,Chaleco Sol Plateado,Tunique Sol argenté,Pett. Sole Argentato,Silbersonnen-Weste,
Auroros Torso Ten,Torso Auroros Ten,Plastron Aur oros Ten,Corazza Auroros Ten,Auroros-Torso Ten,
Genesis Torso Ten,Torso Génesis Ten,Plastron Genesis Ten,Corazza Genesis Ten,Genesis-Torso Ten,
Borealis Chest Ten,Pechera Boreal Ten,Bustier Borealis Ten,Pettorale Bor. Ten,Borealis-HarnischTen,
Glyph Chest Ten,Pechera Glyph Ten,Bustier Glyphe Ten,Pettorale Glifo Ten,Glyph-Harnisch Ten,
Fatalis Hide,Piel de Fatalis,Cuir de Fatalis,Cuoio di Fatalis,Fatalis-Lederhaut,
Fatalis Skin,Pellejo de Fatalis,Peau de Fatalis,Pelle di Fatalis,Fatalis-Haut,
White Fatalis Hide,Piel Fatalis Blanca,Cuir Fatalis blanc,Cuoio Fatalis Bianco,WeißeFatalisLedrhaut,
White Fatalis Skin,Pell. Fatalis Blanco,Peau Fatalis blanc,Pelle Fatalis Bianco,WeißeFatalisHaut,
Kut-Ku Mail X,Malla Kut-Ku X,Cotte Kut-Ku X,Cotta Kut-Ku X,Kut-Ku-Panzer X,
Kut-Ku Vest X,Chal. Kut-Ku X,Tunique Kut-Ku X,Pettorina Kut-Ku X,Kut-Ku-Weste X,
Conga Mail X,Malla Conga X,Cotte Conga X,Cotta Conga X,Conga-Panzer X,
Conga Vest X,Chal. Conga X,Tunique Conga X,Pettorina Conga X,Conga-Weste X,
Gypceros Mail X,Malla Gypceros X,Cotte Gypceros X,Cotta Gypceros X,Gypceros-Panzer X,
Gypceros Vest X,Chal. Gypceros X,Tunique Gypceros X,Pettorina Gypceros X,Gypceros-Weste X,
Khezu Mail X,Malla Khezu X,Cotte Khezu X,Cotta Khezu X,Khezu-Panzer X,
Khezu Vest X,Chal. Khezu X,Tunique Khezu X,Pettorina Khezu X,Khezu-Weste X,
Hermitaur Mail X,Malla Hermitaur X,Cotte Hermitaur X,Cotta Hermitaur X,Hermitaur-Panzer X,
Hermitaur Vest X,Chal. Hermitaur X,Tunique Hermitaur X,Pettor. Hermitaur X,Hermitaur-Weste X,
Hypno Mail X,Malla Hypno X,Cotte Hypno X,Cotta Hypno X,Hypno-Panzer X,
Hypno Vest X,Chal. Hypno X,Tunique Hypno X,Pettorina Hypno X,Hypno-Weste X,
Basarios Mail X,Malla de Basarios X,Cotte Basarios X,Cotta Basarios X,Basarios-Panzer X,
Basarios Vest X,Chaleco Basarios X,Tunique Basarios X,Pettorina Basarios X,Basarios-Weste X,
Plesioth Mail X,Malla Plesioth X,Cotte Plesioth X,Cotta Plesioth X,Plesioth-Panzer X,
Plesioth Vest X,Chal. Plesioth X,Tunique Plesioth X,Pettor. Plesioth X,Plesioth-Weste X,
Monoblos Mail X,Malla Monoblos X,Cotte Monoblos X,Cotta Monoblos X,Monoblos-Panzer X,
Monoblos Vest X,Chal. Monoblos X,Tunique Monoblos X,Pettorina Monoblos X,Monoblos-Weste X,
Garuga Mail X,Malla Garuga X,Cotte Garuga X,Cotta Garuga X,Garuga-Panzer X,
Garuga Vest X,Chal. Garuga X,Tunique Garuga X,Pettorina Garuga X,Garuga-Weste X,
Blango Mail X,Malla Blango X,Cotte Blango X,Cotta Blango X,Blango-Panzer X,
Blango Vest X,Chal. Blango X,Tunique Blango X,Pettorina Blango X,Blango-Weste X,
Ceanataur Mail X,Malla Ceanataur X,Cotte Ceanataur X,Cotta Ceanataur X,Ceanataur-Panzer X,
Ceanataur Vest X,Chal. Ceanataur X,Tunique Ceanataur X,Pettorina CeanataurX,Ceanataur-Weste X,
Rathian Mail X,Malla Rathian X,Cotte Rathian X,Cotta Rathian X,Rathian-Panzer X,
Rathian Vest X,Chal. Rathian X,Tunique Rathian X,Pettorina Rathian X,Rathian-Weste X,
Narga Mail X,Malla Narga X,Cotte Narga X,Cotta Narga X,Narga-Panzer X,
Narga Vest X,Chal. Narga X,Tunique Narga X,Pettorina Narga X,Narga-Weste X,
Lava Mail X,Malla Lava X,Cotte Lava X,Cotta Lava X,Lava-Panzer X,
Lava Vest X,Chal. Lava X,Tunique Lava X,Pettorina Lava X,Lava-Weste X,
Tigrex Mail X,Malla Tigrex X,Cotte Tigrex X,Cotta Tigrex X,Tigrex-Panzer X,
Tigrex Vest X,Chal. Tigrex X,Tunique Tigrex X,Pettorina Tigrex X,Tigrex-Weste X,
Rathalos Mail X,Malla Rathalos X,Cotte Rathalos X,Cotta Rathalos X,Rathalos-Panzer X,
Rathalos Vest X,Chal. Rathalos X,Tunique Rathalos X,Pettorina Rathalos X,Rathalos-Weste X,
Diablo Mail X,Malla Diablo X,Cotte Diablo X,Cotta Diablo X,Diablos-Panzer X,
Diablo Vest X,Chal. Diablo X,Tunique Diablo X,Pettorina Diablo X,Diablos-Weste X,
Gravios Mail X,Malla Gravios X,Cotte Gravios X,Cotta Gravios X,Gravios-Panzer X,
Gravios Vest X,Chal. Gravios X,Tunique Gravios X,Pettorina Gravios X,Gravios-Weste X,
Kut-Ku Mail Z,Malla de Khezu Z,Cotte Kut-Ku Z,Cotta Khezu Z,Kut-Ku-Panzer Z,
Kut-Ku Vest Z,Chal. Kut-Ku Z,Tunique Kut-Ku Z,Pettorina Khezu Z,Kut-Ku-Weste Z,
Conga Mail Z,Malla Conga Z,Cotte Conga Z,Cotta Conga Z,Conga-Panzer Z,
Conga Vest Z,Chal. Conga Z,Tunique Conga Z,Pettorina Conga Z,Conga-Weste Z,
Gypceros Mail Z,Malla Gypceros Z,Cotte Gypceros Z,Cotta Gypceros Z,Gypceros-Panzer Z,
Gypceros Vest Z,Chal. Gypceros Z,Tunique Gypceros Z,Pettorina Gypceros Z,Gypceros-Weste Z,
Khezu Mail Z,Malla de Khezu Z,Cotte Kut-Ku Z,Cotta Khezu Z,Kut-Ku-Panzer Z,
Khezu Vest Z,Chal. Kut-Ku Z,Tunique Kut-Ku Z,Pettorina Khezu Z,Kut-Ku-Weste Z,
Hermitaur Mail Z,Malla Hermitaur Z,Cotte Hermitaur Z,Cotta Hermitaur Z,Hermitaur-Panzer Z,
